nombre,apellido,partido,ciudad,bio,propuesta_electoral,tipos_eleccion,lista_electoral,territorio,region,eleccion,nro_lista,revision_apellido
Boris,Duran Reyes,Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 17,Del Maule,Diputado,62,
Cesar,Valenzuela Maass,Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 9,Metropolitana De Santiago,Diputado,62,
Cindy,Solis Ibarra,Independiente Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 11,Metropolitana De Santiago,Diputado,62,
Claudia,Hasbun Faila,Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 12,Metropolitana De Santiago,Diputado,62,
Felipe,Camaño Cardenas,Independiente Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 19,De Ñuble,Diputado,62,
Gabriela,Carrasco Urquieta,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 3,De Antofagasta,Diputado,62,
Gustavo,Gatica Villarroel,Independiente Comunista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 8,Metropolitana De Santiago,Diputado,62,
Jaime,Bassa Mercado,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 7,De Valparaiso,Diputado,62,
Lorena,Fries Monleon,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 10,Metropolitana De Santiago,Diputado,62,
Lorena,Perez Larenas,Radical de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 21,Del Biobio,Diputado,62,
Marcela,Riquelme Aliaga,Independiente Radical de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 15,Del Libertador General Bernardo O'Higgins,Diputado,62,
Nelson,Venegas Salazar,Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 6,De Valparaiso,Diputado,62,
Nibaldo,Meza Garfia,Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 14,Metropolitana De Santiago,Diputado,62,
Ximena,Sepulveda Varas,Independiente Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 22,De La Araucania,Diputado,62,
Alejandra,Placencia Cabello,Comunista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 10,Metropolitana De Santiago,Diputado,63,
Anwar,Farran Veloso,Independiente Radical de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 21,Del Biobio,Diputado,63,
Christian,Pino Lopez,Independiente Radical de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 14,Metropolitana De Santiago,Diputado,63,
Erick Solo,De Zaldivar Garay,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 19,De Ñuble,Diputado,63,1
Gabriel,Rojas Rojas,Independiente Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 17,Del Maule,Diputado,63,
Jorge Insunza,Gregorio De Las Heras,Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 5,De Coquimbo,Diputado,63,1
Li,Fridman Moses,Independiente Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 12,Metropolitana De Santiago,Diputado,63,
Luis Cuello,Peña Y Lillo,Comunista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 7,De Valparaiso,Diputado,63,1
Marcos,Barraza Gomez,Comunista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 8,Metropolitana De Santiago,Diputado,63,
Maria Ester,Olea Rodriguez,Radical de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 11,Metropolitana De Santiago,Diputado,63,
Mauricio,Viñambres Adasme,Independiente Radical de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 6,De Valparaiso,Diputado,63,
Sandra,Gonzalez Zamorano,Independiente Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 9,Metropolitana De Santiago,Diputado,63,
Ana,Muñoz Muñoz,Independiente Radical de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 17,Del Maule,Diputado,64,
Camila,Musante Muller,Independiente Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 14,Metropolitana De Santiago,Diputado,64,
Carlos,Cuadrado Prats,Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 9,Metropolitana De Santiago,Diputado,64,
Cecilia,Celis Ahumada,Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 11,Metropolitana De Santiago,Diputado,64,
Claudia,Atenas Soza,Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 8,Metropolitana De Santiago,Diputado,64,
Dinka,Tomicic Bobadilla,Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 12,Metropolitana De Santiago,Diputado,64,
Iraci,Hassler Jacob,Comunista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 10,Metropolitana De Santiago,Diputado,64,
Josefa Javiera,Del Pilar Balmaceda Vasquez,Independiente Liberal de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 19,De Ñuble,Diputado,64,1
Luis,Foncea Calderon,Independiente Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 6,De Valparaiso,Diputado,64,
Patricio,Pinilla Valencia,Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 21,Del Biobio,Diputado,64,
Rafael,Vera Castillo,Independiente Radical de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 5,De Coquimbo,Diputado,64,
Roy,Crichton Orellana,Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 7,De Valparaiso,Diputado,64,
Cesar,Riquelme Alarcon,Radical de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 19,De Ñuble,Diputado,65,
Felipe Alfredo,Rios Cuevas,Liberal de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 7,De Valparaiso,Diputado,65,
Fernanda,Villegas Acevedo,Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 10,Metropolitana De Santiago,Diputado,65,
Juan Carlos,Valdivia Lena,Independiente Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 8,Metropolitana De Santiago,Diputado,65,
Karen,Medina Vasquez,Independiente Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 21,Del Biobio,Diputado,65,
Monica,Arce Castro,Independiente Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 12,Metropolitana De Santiago,Diputado,65,
Pablo Del,Rio Jimenez,Radical de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 17,Del Maule,Diputado,65,1
Ricardo,Cifuentes Lillo,Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 5,De Coquimbo,Diputado,65,
Sabas Ivan,Chahuan Sarras,Independiente Liberal de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 6,De Valparaiso,Diputado,65,
Ana Maria,Hernandez San Martin,Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 10,Metropolitana De Santiago,Diputado,66,1
Francisco,Crisostomo Llanos,Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 19,De Ñuble,Diputado,66,
Jaime,Quintana Leal,Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 23,De La Araucania,Diputado,66,
Manuel,Murillo Calderon,Independiente Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 7,De Valparaiso,Diputado,66,
Sofia,Gonzalez Cortes,Comunista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 6,De Valparaiso,Diputado,66,
Tatiana,Urrutia Herrera,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 8,Metropolitana De Santiago,Diputado,66,
Claudia,Mix Jimenez,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 8,Metropolitana De Santiago,Diputado,67,
Cristian,Mella Andaur,Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 6,De Valparaiso,Diputado,67,
Helia,Molina Milman,Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 10,Metropolitana De Santiago,Diputado,67,
Jose,Montalva Feuerhake,Independiente Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 23,De La Araucania,Diputado,67,
Scarlet,Hidalgo Jara,Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 19,De Ñuble,Diputado,67,
Tomas De,Rementeria Venegas,Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 7,De Valparaiso,Diputado,67,1
Arturo,Barrios Oteiza,Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 7,De Valparaiso,Diputado,68,
Coca,Ñanco Vasquez,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 23,De La Araucania,Diputado,68,
Gaspar,Rivas Sanchez,Independiente Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 6,De Valparaiso,Diputado,68,
Jose,Toro Kemp,Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 10,Metropolitana De Santiago,Diputado,68,
Maria Candelaria,Acevedo Saez,Comunista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 20,Del Biobio,Diputado,68,
Christian,Dulansky Araya,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 23,De La Araucania,Diputado,69,
Eduardo,Barra Jofre,Comunista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 20,Del Biobio,Diputado,69,
Alicia,Yañez Soto,Por La Democracia,,,,Diputados 2025,C. Unidad por Chile,Distrito 20,Del Biobio,Diputado,70,
Pablo,Diaz Salazar,Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 23,De La Araucania,Diputado,70,
Carlos Alexis,Vallejos Vallejos,Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 23,De La Araucania,Diputado,71,
Carolina Beatriz,Martinez Ebner,Liberal de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 20,Del Biobio,Diputado,71,
Claudia Tapia,De La Peña,Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 23,De La Araucania,Diputado,72,1
Daniela,Dresdner Vicencio,Frente Amplio,,,,Diputados 2025,C. Unidad por Chile,Distrito 20,Del Biobio,Diputado,72,
Macarena,Flores Montoya,Radical de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 20,Del Biobio,Diputado,73,
Raul,Allard Soto,Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 23,De La Araucania,Diputado,73,
Antonio,Rivas Villalobos,Socialista de Chile,,,,Diputados 2025,C. Unidad por Chile,Distrito 20,Del Biobio,Diputado,74,
Alvaro,Ortiz Vera,Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 20,Del Biobio,Diputado,75,
Eric,Aedo Jeldres,Demócrata Cristiano,,,,Diputados 2025,C. Unidad por Chile,Distrito 20,Del Biobio,Diputado,76,
Arturo,Fernandez Diaz,Independiente Igualdad,,,,Senadores 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Circunscripción Senatorial 4,De Atacama,Senador,13,
Marina,Caceres Carvajal,Igualdad,,,,Senadores 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Circunscripción Senatorial 4,De Atacama,Senador,14,
Claudio Vicente,Ojeda Murillo,Humanista,,,,Senadores 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Circunscripción Senatorial 1,De Arica Y Parinacota,Senador,15,
Juan Carlos,Huerta Moraga,Humanista,,,,Senadores 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Circunscripción Senatorial 2,De Tarapaca,Senador,15,
Andrea Rosita,Chellew Stambuk,Humanista,,,,Senadores 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Circunscripción Senatorial 1,De Arica Y Parinacota,Senador,16,
Juan Jacobo,Tancara Chambe,Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 1,De Arica Y Parinacota,Diputado,59,
Ana Andrea,Carvajal Maripan,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 1,De Arica Y Parinacota,Diputado,60,
Roberto Samuel,Flores Salgado,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 1,De Arica Y Parinacota,Diputado,61,
Jorge Cristian,Muñoz Reyes,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 13,Metropolitana De Santiago,Diputado,62,
Adela Maria,Pizarro Goncalvez,Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 3,De Antofagasta,Diputado,63,
Fernando Israel,Vilches Cespedes,Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 13,Metropolitana De Santiago,Diputado,63,
Dan,Ibacache Paniagua,Igualdad,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 3,De Antofagasta,Diputado,64,
Gazzi Andres,Jacob Nuñez,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 13,Metropolitana De Santiago,Diputado,64,
Amelia Del,Carmen Gallegos Ramirez,Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 9,Metropolitana De Santiago,Diputado,65,1
Marisela Del,Pilar Petersen Basaez,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 13,Metropolitana De Santiago,Diputado,65,1
Nelson Nicolas,Peña Gallardo,Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 11,Metropolitana De Santiago,Diputado,65,
Ricardo,Martinez Valencia,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 14,Metropolitana De Santiago,Diputado,65,
Carla Belen,Burgos Escobar,Igualdad,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 21,Del Biobio,Diputado,66,
Guillermo,Gonzalez Castro,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 11,Metropolitana De Santiago,Diputado,66,
Gustavo Enrique,Gonzalez Araya,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 14,Metropolitana De Santiago,Diputado,66,
Maria,Galleguillos Torres,Igualdad,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 5,De Coquimbo,Diputado,66,
Natalia,Garrido Toro,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 12,Metropolitana De Santiago,Diputado,66,
Viviana,Montecinos Suazo,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 9,Metropolitana De Santiago,Diputado,66,
Abraham,Muñoz Vilches,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 14,Metropolitana De Santiago,Diputado,67,
Adrian Antonio,Lizama Barra,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 9,Metropolitana De Santiago,Diputado,67,
Maria Angelica,Romero Donoso,Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 11,Metropolitana De Santiago,Diputado,67,
Rene,Valle Toro,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 12,Metropolitana De Santiago,Diputado,67,
Rodrigo,Andrade Ramirez,Igualdad,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 5,De Coquimbo,Diputado,67,
Arturo,Ellis Cataldo,Independiente Igualdad,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 5,De Coquimbo,Diputado,68,
Cesar,Uribe Araya,Independiente Igualdad,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 19,De Ñuble,Diputado,68,
Elio,Zarate Moraga,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 11,Metropolitana De Santiago,Diputado,68,
Elisa Andrea,Rojas Herrera,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 8,Metropolitana De Santiago,Diputado,68,
Jasmin Lizette,Donoso Romero,Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 14,Metropolitana De Santiago,Diputado,68,
Juan Andres,Pino Madrid,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 9,Metropolitana De Santiago,Diputado,68,
Rafael,Harvey Valdes,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 12,Metropolitana De Santiago,Diputado,68,
Celeste,Jimenez Riveros,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 10,Metropolitana De Santiago,Diputado,69,
Dina Luisa,Figueroa Mardones,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 14,Metropolitana De Santiago,Diputado,69,
Eduardo,Savattini Nuñez,Igualdad,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 19,De Ñuble,Diputado,69,
Francisca,Pemjean Letelier,Independiente Igualdad,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 5,De Coquimbo,Diputado,69,
Maria Teresa,Alvarez Aguilar,Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 8,Metropolitana De Santiago,Diputado,69,
Nicolas Andres,Romero Reeves,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 11,Metropolitana De Santiago,Diputado,69,
Rita,Pino Mardones,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 12,Metropolitana De Santiago,Diputado,69,
Sergio Enrique,Flores Ramirez,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 9,Metropolitana De Santiago,Diputado,69,
Alfredo,Grossi Robles,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 10,Metropolitana De Santiago,Diputado,70,
Cristopher,Suazo Benavides,Independiente Igualdad,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 5,De Coquimbo,Diputado,70,
Ester,Barrientos Vargas,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 9,Metropolitana De Santiago,Diputado,70,
Felipe Alexander,Pino Castillo,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 14,Metropolitana De Santiago,Diputado,70,
Juan Carlos,Zurita Medina,Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 12,Metropolitana De Santiago,Diputado,70,
Maximo,Quitral Rojas,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 8,Metropolitana De Santiago,Diputado,70,
Ninoska,Henriquez Araya,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 11,Metropolitana De Santiago,Diputado,70,
Susana,Yañez Balague,Independiente Igualdad,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 19,De Ñuble,Diputado,70,
Daniela,King Reyes,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 10,Metropolitana De Santiago,Diputado,71,
Elizabeth,Tudela Cruz,Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 11,Metropolitana De Santiago,Diputado,71,
Francisco,Valdes Reyes,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 14,Metropolitana De Santiago,Diputado,71,
Luis Alberto,Donoso Uribe,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 9,Metropolitana De Santiago,Diputado,71,
Paula,Ocares Cerda,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 12,Metropolitana De Santiago,Diputado,71,
Rafael,Muñoz Urrutia,Independiente Igualdad,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 5,De Coquimbo,Diputado,71,
Rossana Del,Pilar Tarsetti Guajardo,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 8,Metropolitana De Santiago,Diputado,71,1
Valentina,Ibarra Moya,Igualdad,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 19,De Ñuble,Diputado,71,
Ana Maria,Iturralde Peña,Independiente Igualdad,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 5,De Coquimbo,Diputado,72,
Dominique,Muñoz Venegas,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 12,Metropolitana De Santiago,Diputado,72,
Gary Javier,Nuñez Ordoña,Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 10,Metropolitana De Santiago,Diputado,72,
James,Mery Bell,Independiente Igualdad,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 19,De Ñuble,Diputado,72,
Pablo Andres,Morales Montoya,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 8,Metropolitana De Santiago,Diputado,72,
Catalina Valeska,Valenzuela Maureira,Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 12,Metropolitana De Santiago,Diputado,73,
Caterina,Simoncelli Fracchia,Igualdad,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 5,De Coquimbo,Diputado,73,
Jorge,Palma Acuña,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 10,Metropolitana De Santiago,Diputado,73,
Patricio San,Martin Solis,Independiente Igualdad,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 19,De Ñuble,Diputado,73,1
Yessenia Lia,Crisostomo Valenzuela,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 8,Metropolitana De Santiago,Diputado,73,
Matias Jorge,Reyes Vargas,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 10,Metropolitana De Santiago,Diputado,74,
Richard,Tapia Fuentes,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 8,Metropolitana De Santiago,Diputado,74,
Amauri Alen,Quilaleo Valencia,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 8,Metropolitana De Santiago,Diputado,75,
Carolina,Venegas Rivera,Independiente Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 10,Metropolitana De Santiago,Diputado,75,
Ibar Nicolas,Zepeda Alcota,Humanista,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 10,Metropolitana De Santiago,Diputado,76,
Javier,Sandoval Ojeda,Igualdad,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 20,Del Biobio,Diputado,77,
Camila,Arriagada Gonzalez,Igualdad,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 20,Del Biobio,Diputado,78,
Ximena,Muñoz Vallejos,Igualdad,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 20,Del Biobio,Diputado,79,
Eliana,Quevedo Hernandez,Independiente Igualdad,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 20,Del Biobio,Diputado,80,
Mauricio,Sandoval Salazar,Independiente Igualdad,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 20,Del Biobio,Diputado,81,
Angelica,Alvarez Rodriguez,Independiente Igualdad,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 20,Del Biobio,Diputado,82,
Melissa,Santibañez Mancilla,Independiente Igualdad,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 20,Del Biobio,Diputado,83,
Javier Del,Rio Richter,Independiente Igualdad,,,,Diputados 2025,D. Izquierda Ecologista Popular Animalista y Humanista,Distrito 20,Del Biobio,Diputado,84,1
Carol,Aros Seguel,Movimiento Amarillos por Chile,,,,Diputados 2025,E. Movimiento Amarillos por Chile,Distrito 15,Del Libertador General Bernardo O'Higgins,Diputado,63,
Marcela,Roa Suazo,Movimiento Amarillos por Chile,,,,Diputados 2025,E. Movimiento Amarillos por Chile,Distrito 22,De La Araucania,Diputado,63,
Alejandro,Valdivia Latorre,Movimiento Amarillos por Chile,,,,Diputados 2025,E. Movimiento Amarillos por Chile,Distrito 15,Del Libertador General Bernardo O'Higgins,Diputado,64,
Javiera Francisca,Victoria Ibarra Larenas,Movimiento Amarillos por Chile,,,,Diputados 2025,E. Movimiento Amarillos por Chile,Distrito 22,De La Araucania,Diputado,64,1
Llery Yanira,Carrasco Espinoza,Movimiento Amarillos por Chile,,,,Diputados 2025,E. Movimiento Amarillos por Chile,Distrito 22,De La Araucania,Diputado,65,
Mauricio,Mella Vasquez,Movimiento Amarillos por Chile,,,,Diputados 2025,E. Movimiento Amarillos por Chile,Distrito 15,Del Libertador General Bernardo O'Higgins,Diputado,65,
Edith Elena,Palma Mendez,Movimiento Amarillos por Chile,,,,Diputados 2025,E. Movimiento Amarillos por Chile,Distrito 22,De La Araucania,Diputado,66,
Pablo,Vasquez Pavez,Movimiento Amarillos por Chile,,,,Diputados 2025,E. Movimiento Amarillos por Chile,Distrito 15,Del Libertador General Bernardo O'Higgins,Diputado,66,
Alex,Becerra Espinoza,Movimiento Amarillos por Chile,,,,Diputados 2025,E. Movimiento Amarillos por Chile,Distrito 15,Del Libertador General Bernardo O'Higgins,Diputado,67,
Paz,Suarez Briones,Movimiento Amarillos por Chile,,,,Diputados 2025,E. Movimiento Amarillos por Chile,Distrito 15,Del Libertador General Bernardo O'Higgins,Diputado,68,
Andres Alfonso,Jouannet Valderrama,Movimiento Amarillos por Chile,,,,Diputados 2025,E. Movimiento Amarillos por Chile,Distrito 23,De La Araucania,Diputado,74,
Carlos Eduardo,Ruiz Benitez,Movimiento Amarillos por Chile,,,,Diputados 2025,E. Movimiento Amarillos por Chile,Distrito 5,De Coquimbo,Diputado,74,
Reinaldo Henry,Figueroa Alarcon,Movimiento Amarillos por Chile,,,,Diputados 2025,E. Movimiento Amarillos por Chile,Distrito 19,De Ñuble,Diputado,74,
Francisca Sylvia,Huirilef Barra,Movimiento Amarillos por Chile,,,,Diputados 2025,E. Movimiento Amarillos por Chile,Distrito 23,De La Araucania,Diputado,75,
Montserrat Margarita,Pizarro Carreño,Movimiento Amarillos por Chile,,,,Diputados 2025,E. Movimiento Amarillos por Chile,Distrito 5,De Coquimbo,Diputado,75,
