eleccion,nro_lista,candidato,region,territorio,lista,partido,gano
Diputado,67,Scarlet Hidalgo Jara,De Ñuble,Distrito 19,C. Unidad por Chile,Por La Democracia,NO
Diputado,67,Tomas De Rementeria Venegas,De Valparaiso,Distrito 7,C. Unidad por Chile,Socialista de Chile,NO
Diputado,68,Arturo Barrios Oteiza,De Valparaiso,Distrito 7,C. Unidad por Chile,Socialista de Chile,NO
Diputado,68,Coca Ñanco Vasquez,De La Araucania,Distrito 23,C. Unidad por Chile,Frente Amplio,SI
Diputado,68,Gaspar Rivas Sanchez,De Valparaiso,Distrito 6,C. Unidad por Chile,Independiente Demócrata Cristiano,NO
Diputado,68,Jose Toro Kemp,Metropolitana De Santiago,Distrito 10,C. Unidad por Chile,Por La Democracia,NO
Diputado,68,Maria Candelaria Acevedo Saez,Del Biobio,Distrito 20,C. Unidad por Chile,Comunista de Chile,NO
Diputado,69,Christian Dulansky Araya,De La Araucania,Distrito 23,C. Unidad por Chile,Frente Amplio,NO
Diputado,69,Eduardo Barra Jofre,Del Biobio,Distrito 20,C. Unidad por Chile,Comunista de Chile,NO
Diputado,70,Alicia Yañez Soto,Del Biobio,Distrito 20,C. Unidad por Chile,Por La Democracia,NO
Diputado,70,Pablo Diaz Salazar,De La Araucania,Distrito 23,C. Unidad por Chile,Demócrata Cristiano,NO
Diputado,71,Carlos Alexis Vallejos Vallejos,De La Araucania,Distrito 23,C. Unidad por Chile,Demócrata Cristiano,NO
Diputado,71,Carolina Beatriz Martinez Ebner,Del Biobio,Distrito 20,C. Unidad por Chile,Liberal de Chile,NO
Diputado,72,Claudia Tapia De La Peña,De La Araucania,Distrito 23,C. Unidad por Chile,Socialista de Chile,NO
Diputado,72,Daniela Dresdner Vicencio,Del Biobio,Distrito 20,C. Unidad por Chile,Frente Amplio,NO
Diputado,73,Macarena Flores Montoya,Del Biobio,Distrito 20,C. Unidad por Chile,Radical de Chile,NO
Diputado,73,Raul Allard Soto,De La Araucania,Distrito 23,C. Unidad por Chile,Socialista de Chile,NO
Diputado,74,Antonio Rivas Villalobos,Del Biobio,Distrito 20,C. Unidad por Chile,Socialista de Chile,NO
Diputado,75,Alvaro Ortiz Vera,Del Biobio,Distrito 20,C. Unidad por Chile,Demócrata Cristiano,SI
Diputado,76,Eric Aedo Jeldres,Del Biobio,Distrito 20,C. Unidad por Chile,Demócrata Cristiano,NO
Senador,13,Arturo Fernandez Diaz,De Atacama,Circunscripción Senatorial 4,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Igualdad,NO
Senador,14,Marina Caceres Carvajal,De Atacama,Circunscripción Senatorial 4,D. Izquierda Ecologista Popular Animalista y Humanista,Igualdad,NO
Senador,15,Claudio Vicente Ojeda Murillo,De Arica Y Parinacota,Circunscripción Senatorial 1,D. Izquierda Ecologista Popular Animalista y Humanista,Humanista,NO
Senador,15,Juan Carlos Huerta Moraga,De Tarapaca,Circunscripción Senatorial 2,D. Izquierda Ecologista Popular Animalista y Humanista,Humanista,NO
Senador,16,Andrea Rosita Chellew Stambuk,De Arica Y Parinacota,Circunscripción Senatorial 1,D. Izquierda Ecologista Popular Animalista y Humanista,Humanista,NO
Diputado,59,Juan Jacobo Tancara Chambe,De Arica Y Parinacota,Distrito 1,D. Izquierda Ecologista Popular Animalista y Humanista,Humanista,NO
Diputado,60,Ana Andrea Carvajal Maripan,De Arica Y Parinacota,Distrito 1,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,61,Roberto Samuel Flores Salgado,De Arica Y Parinacota,Distrito 1,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,62,Jorge Cristian Muñoz Reyes,Metropolitana De Santiago,Distrito 13,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,63,Adela Maria Pizarro Goncalvez,De Antofagasta,Distrito 3,D. Izquierda Ecologista Popular Animalista y Humanista,Humanista,NO
Diputado,63,Fernando Israel Vilches Cespedes,Metropolitana De Santiago,Distrito 13,D. Izquierda Ecologista Popular Animalista y Humanista,Humanista,NO
Diputado,64,Dan Ibacache Paniagua,De Antofagasta,Distrito 3,D. Izquierda Ecologista Popular Animalista y Humanista,Igualdad,NO
Diputado,64,Gazzi Andres Jacob Nuñez,Metropolitana De Santiago,Distrito 13,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,65,Amelia Del Carmen Gallegos Ramirez,Metropolitana De Santiago,Distrito 9,D. Izquierda Ecologista Popular Animalista y Humanista,Humanista,NO
Diputado,65,Marisela Del Pilar Petersen Basaez,Metropolitana De Santiago,Distrito 13,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,65,Nelson Nicolas Peña Gallardo,Metropolitana De Santiago,Distrito 11,D. Izquierda Ecologista Popular Animalista y Humanista,Humanista,NO
Diputado,65,Ricardo Martinez Valencia,Metropolitana De Santiago,Distrito 14,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,66,Carla Belen Burgos Escobar,Del Biobio,Distrito 21,D. Izquierda Ecologista Popular Animalista y Humanista,Igualdad,NO
Diputado,66,Guillermo Gonzalez Castro,Metropolitana De Santiago,Distrito 11,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,66,Gustavo Enrique Gonzalez Araya,Metropolitana De Santiago,Distrito 14,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,66,Maria Galleguillos Torres,De Coquimbo,Distrito 5,D. Izquierda Ecologista Popular Animalista y Humanista,Igualdad,NO
Diputado,66,Natalia Garrido Toro,Metropolitana De Santiago,Distrito 12,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,66,Viviana Montecinos Suazo,Metropolitana De Santiago,Distrito 9,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,67,Abraham Muñoz Vilches,Metropolitana De Santiago,Distrito 14,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,67,Adrian Antonio Lizama Barra,Metropolitana De Santiago,Distrito 9,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,67,Maria Angelica Romero Donoso,Metropolitana De Santiago,Distrito 11,D. Izquierda Ecologista Popular Animalista y Humanista,Humanista,NO
Diputado,67,Rene Valle Toro,Metropolitana De Santiago,Distrito 12,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,67,Rodrigo Andrade Ramirez,De Coquimbo,Distrito 5,D. Izquierda Ecologista Popular Animalista y Humanista,Igualdad,NO
Diputado,68,Arturo Ellis Cataldo,De Coquimbo,Distrito 5,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Igualdad,NO
Diputado,68,Cesar Uribe Araya,De Ñuble,Distrito 19,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Igualdad,NO
Diputado,68,Elio Zarate Moraga,Metropolitana De Santiago,Distrito 11,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,68,Elisa Andrea Rojas Herrera,Metropolitana De Santiago,Distrito 8,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,68,Jasmin Lizette Donoso Romero,Metropolitana De Santiago,Distrito 14,D. Izquierda Ecologista Popular Animalista y Humanista,Humanista,NO
Diputado,68,Juan Andres Pino Madrid,Metropolitana De Santiago,Distrito 9,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,68,Rafael Harvey Valdes,Metropolitana De Santiago,Distrito 12,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,69,Celeste Jimenez Riveros,Metropolitana De Santiago,Distrito 10,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,69,Dina Luisa Figueroa Mardones,Metropolitana De Santiago,Distrito 14,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,69,Eduardo Savattini Nuñez,De Ñuble,Distrito 19,D. Izquierda Ecologista Popular Animalista y Humanista,Igualdad,NO
Diputado,69,Francisca Pemjean Letelier,De Coquimbo,Distrito 5,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Igualdad,NO
Diputado,69,Maria Teresa Alvarez Aguilar,Metropolitana De Santiago,Distrito 8,D. Izquierda Ecologista Popular Animalista y Humanista,Humanista,NO
Diputado,69,Nicolas Andres Romero Reeves,Metropolitana De Santiago,Distrito 11,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,69,Rita Pino Mardones,Metropolitana De Santiago,Distrito 12,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,69,Sergio Enrique Flores Ramirez,Metropolitana De Santiago,Distrito 9,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,70,Alfredo Grossi Robles,Metropolitana De Santiago,Distrito 10,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,70,Cristopher Suazo Benavides,De Coquimbo,Distrito 5,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Igualdad,NO
Diputado,70,Ester Barrientos Vargas,Metropolitana De Santiago,Distrito 9,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,70,Felipe Alexander Pino Castillo,Metropolitana De Santiago,Distrito 14,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,70,Juan Carlos Zurita Medina,Metropolitana De Santiago,Distrito 12,D. Izquierda Ecologista Popular Animalista y Humanista,Humanista,NO
Diputado,70,Maximo Quitral Rojas,Metropolitana De Santiago,Distrito 8,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,70,Ninoska Henriquez Araya,Metropolitana De Santiago,Distrito 11,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,70,Susana Yañez Balague,De Ñuble,Distrito 19,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Igualdad,NO
Diputado,71,Daniela King Reyes,Metropolitana De Santiago,Distrito 10,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,71,Elizabeth Tudela Cruz,Metropolitana De Santiago,Distrito 11,D. Izquierda Ecologista Popular Animalista y Humanista,Humanista,NO
Diputado,71,Francisco Valdes Reyes,Metropolitana De Santiago,Distrito 14,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,71,Luis Alberto Donoso Uribe,Metropolitana De Santiago,Distrito 9,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,71,Paula Ocares Cerda,Metropolitana De Santiago,Distrito 12,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,71,Rafael Muñoz Urrutia,De Coquimbo,Distrito 5,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Igualdad,NO
Diputado,71,Rossana Del Pilar Tarsetti Guajardo,Metropolitana De Santiago,Distrito 8,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,71,Valentina Ibarra Moya,De Ñuble,Distrito 19,D. Izquierda Ecologista Popular Animalista y Humanista,Igualdad,NO
Diputado,72,Ana Maria Iturralde Peña,De Coquimbo,Distrito 5,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Igualdad,NO
Diputado,72,Dominique Muñoz Venegas,Metropolitana De Santiago,Distrito 12,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,72,Gary Javier Nuñez Ordoña,Metropolitana De Santiago,Distrito 10,D. Izquierda Ecologista Popular Animalista y Humanista,Humanista,NO
Diputado,72,James Mery Bell,De Ñuble,Distrito 19,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Igualdad,NO
Diputado,72,Pablo Andres Morales Montoya,Metropolitana De Santiago,Distrito 8,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,73,Catalina Valeska Valenzuela Maureira,Metropolitana De Santiago,Distrito 12,D. Izquierda Ecologista Popular Animalista y Humanista,Humanista,NO
Diputado,73,Caterina Simoncelli Fracchia,De Coquimbo,Distrito 5,D. Izquierda Ecologista Popular Animalista y Humanista,Igualdad,NO
Diputado,73,Jorge Palma Acuña,Metropolitana De Santiago,Distrito 10,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,73,Patricio San Martin Solis,De Ñuble,Distrito 19,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Igualdad,NO
Diputado,73,Yessenia Lia Crisostomo Valenzuela,Metropolitana De Santiago,Distrito 8,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,74,Matias Jorge Reyes Vargas,Metropolitana De Santiago,Distrito 10,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,74,Richard Tapia Fuentes,Metropolitana De Santiago,Distrito 8,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,75,Amauri Alen Quilaleo Valencia,Metropolitana De Santiago,Distrito 8,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,75,Carolina Venegas Rivera,Metropolitana De Santiago,Distrito 10,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Humanista,NO
Diputado,76,Ibar Nicolas Zepeda Alcota,Metropolitana De Santiago,Distrito 10,D. Izquierda Ecologista Popular Animalista y Humanista,Humanista,NO
Diputado,77,Javier Sandoval Ojeda,Del Biobio,Distrito 20,D. Izquierda Ecologista Popular Animalista y Humanista,Igualdad,NO
Diputado,78,Camila Arriagada Gonzalez,Del Biobio,Distrito 20,D. Izquierda Ecologista Popular Animalista y Humanista,Igualdad,NO
Diputado,79,Ximena Muñoz Vallejos,Del Biobio,Distrito 20,D. Izquierda Ecologista Popular Animalista y Humanista,Igualdad,NO
Diputado,80,Eliana Quevedo Hernandez,Del Biobio,Distrito 20,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Igualdad,NO
Diputado,81,Mauricio Sandoval Salazar,Del Biobio,Distrito 20,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Igualdad,NO
Diputado,82,Angelica Alvarez Rodriguez,Del Biobio,Distrito 20,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Igualdad,NO
Diputado,83,Melissa Santibañez Mancilla,Del Biobio,Distrito 20,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Igualdad,NO
Diputado,84,Javier Del Rio Richter,Del Biobio,Distrito 20,D. Izquierda Ecologista Popular Animalista y Humanista,Independiente Igualdad,NO
Diputado,63,Carol Aros Seguel,Del Libertador General Bernardo O'Higgins,Distrito 15,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,63,Marcela Roa Suazo,De La Araucania,Distrito 22,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,64,Alejandro Valdivia Latorre,Del Libertador General Bernardo O'Higgins,Distrito 15,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,64,Javiera Francisca Victoria Ibarra Larenas,De La Araucania,Distrito 22,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,65,Llery Yanira Carrasco Espinoza,De La Araucania,Distrito 22,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,65,Mauricio Mella Vasquez,Del Libertador General Bernardo O'Higgins,Distrito 15,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,66,Edith Elena Palma Mendez,De La Araucania,Distrito 22,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,66,Pablo Vasquez Pavez,Del Libertador General Bernardo O'Higgins,Distrito 15,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,67,Alex Becerra Espinoza,Del Libertador General Bernardo O'Higgins,Distrito 15,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,68,Paz Suarez Briones,Del Libertador General Bernardo O'Higgins,Distrito 15,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,74,Andres Alfonso Jouannet Valderrama,De La Araucania,Distrito 23,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,74,Carlos Eduardo Ruiz Benitez,De Coquimbo,Distrito 5,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,74,Reinaldo Henry Figueroa Alarcon,De Ñuble,Distrito 19,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,75,Francisca Sylvia Huirilef Barra,De La Araucania,Distrito 23,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,75,Montserrat Margarita Pizarro Carreño,De Coquimbo,Distrito 5,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,75,Osvaldo Antonio Caro Caro,De Ñuble,Distrito 19,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,76,Jorge Dennis Jaramillo Hott,De La Araucania,Distrito 23,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,76,Pablo Alejandro Yañez Pizarro,De Coquimbo,Distrito 5,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,76,Rodrigo Andres Castro Galaz,De Ñuble,Distrito 19,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,77,Cecilia Victoria Roxana Jacqueline Ortiz Vera,De Ñuble,Distrito 19,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,77,Franchesca Nicole Plaza Gonzalez,De Coquimbo,Distrito 5,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,77,Isadora Alejandra Reynolds Cavallieri,De La Araucania,Distrito 23,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,78,Miguel Angel Cortes Ibarra,De La Araucania,Distrito 23,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,78,Sergio Herman Contreras Navarro,De Ñuble,Distrito 19,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,78,Yerko Neftali Zambra Villalobos,De Coquimbo,Distrito 5,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,79,Elizabeth Solange Fredes Rosales,De Coquimbo,Distrito 5,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,79,Hernan Alvarez Roman,De Ñuble,Distrito 19,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,79,Soledad Burgos Martinez,De La Araucania,Distrito 23,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,80,Sergio Hector Yañez Reveco,De La Araucania,Distrito 23,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,80,Tomas Felipe Yavar Aguilera,De Coquimbo,Distrito 5,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,81,Felix Alonso Velasco Ladron De Guevara,De Coquimbo,Distrito 5,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,81,Solange Noel Carmine Rojas,De La Araucania,Distrito 23,E. Movimiento Amarillos por Chile,Movimiento Amarillos por Chile,NO
Diputado,62,Camilo Martin Jofre Cañipa,De Arica Y Parinacota,Distrito 1,F. Partido de Trabajadores Revolucionarios,De Trabajadores Revolucionarios,NO
Diputado,65,Natalia Valentina Sanchez Muñoz,De Antofagasta,Distrito 3,F. Partido de Trabajadores Revolucionarios,De Trabajadores Revolucionarios,NO
Diputado,66,Daniel Andres Vargas Downing,De Antofagasta,Distrito 3,F. Partido de Trabajadores Revolucionarios,De Trabajadores Revolucionarios,NO
Diputado,66,Juan Francisco Gamboa Higuera,Metropolitana De Santiago,Distrito 13,F. Partido de Trabajadores Revolucionarios,De Trabajadores Revolucionarios,NO
Diputado,67,Daniela Beatriz Aviles Honores,De Antofagasta,Distrito 3,F. Partido de Trabajadores Revolucionarios,De Trabajadores Revolucionarios,NO
Diputado,67,Maria Isabel Margarita Martinez Lizama,Metropolitana De Santiago,Distrito 13,F. Partido de Trabajadores Revolucionarios,De Trabajadores Revolucionarios,NO
Diputado,68,Camila Paz Burgos Gonzalez,Metropolitana De Santiago,Distrito 13,F. Partido de Trabajadores Revolucionarios,De Trabajadores Revolucionarios,NO
Diputado,68,Nestor Luis Vera Rojas,De Antofagasta,Distrito 3,F. Partido de Trabajadores Revolucionarios,De Trabajadores Revolucionarios,NO
Diputado,69,Antonio Alejandro Paez Aguilar,De Valparaiso,Distrito 7,F. Partido de Trabajadores Revolucionarios,De Trabajadores Revolucionarios,NO
Diputado,70,Alejandra Valderrama Zuñiga,De Valparaiso,Distrito 7,F. Partido de Trabajadores Revolucionarios,De Trabajadores Revolucionarios,NO
Diputado,71,Romina Fernanda Ibañez San Martin,De Valparaiso,Distrito 7,F. Partido de Trabajadores Revolucionarios,De Trabajadores Revolucionarios,NO
Diputado,76,Francisco Vladimir Flores Cobo,Metropolitana De Santiago,Distrito 8,F. Partido de Trabajadores Revolucionarios,De Trabajadores Revolucionarios,NO
Diputado,77,Dauno Totoro Navarro,Metropolitana De Santiago,Distrito 10,F. Partido de Trabajadores Revolucionarios,De Trabajadores Revolucionarios,NO
Diputado,78,Joseffe Tamara Caceres Torres,Metropolitana De Santiago,Distrito 10,F. Partido de Trabajadores Revolucionarios,De Trabajadores Revolucionarios,NO
Diputado,79,Fabian Ernesto Puelma Muller,Metropolitana De Santiago,Distrito 10,F. Partido de Trabajadores Revolucionarios,De Trabajadores Revolucionarios,NO
Diputado,80,Barbara Belen Brito Carrasco,Metropolitana De Santiago,Distrito 10,F. Partido de Trabajadores Revolucionarios,De Trabajadores Revolucionarios,NO
Diputado,81,Yuri Ernesto Peña Jimenez,Metropolitana De Santiago,Distrito 10,F. Partido de Trabajadores Revolucionarios,De Trabajadores Revolucionarios,NO
Diputado,82,Valeria Paz Yañez Alvarez,Metropolitana De Santiago,Distrito 10,F. Partido de Trabajadores Revolucionarios,De Trabajadores Revolucionarios,NO
Diputado,83,Julio Humberto Mancilla Maraboli,Metropolitana De Santiago,Distrito 10,F. Partido de Trabajadores Revolucionarios,De Trabajadores Revolucionarios,NO
Diputado,84,Claudia Andrea Tassara Ruilova,Metropolitana De Santiago,Distrito 10,F. Partido de Trabajadores Revolucionarios,De Trabajadores Revolucionarios,NO
Diputado,85,Yamila De Lourdes Martinez Urrutia,Metropolitana De Santiago,Distrito 10,F. Partido de Trabajadores Revolucionarios,De Trabajadores Revolucionarios,NO
Senador,22,Kim Nikki Gutierrez Ulloa,Del Maule,Circunscripción Senatorial 9,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Senador,23,Carlos Eugenio Ravera Fernandez,Del Maule,Circunscripción Senatorial 9,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,69,Damarie Moyano Madrid,Del Libertador General Bernardo O'Higgins,Distrito 15,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,69,Paola Joyce Martinez Sandoval,Metropolitana De Santiago,Distrito 13,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,70,Luis Antonio Dote Orellana,Del Libertador General Bernardo O'Higgins,Distrito 15,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,70,Pedro Alejandro Valenzuela Yañez,Metropolitana De Santiago,Distrito 13,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,71,Ricardo Lisboa Henriquez,Del Libertador General Bernardo O'Higgins,Distrito 15,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,72,Igor Contreras Jeria,Metropolitana De Santiago,Distrito 11,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,72,Katherine Alejandra Toledo Guerra,Del Libertador General Bernardo O'Higgins,Distrito 15,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,72,Manuel Enrique Muñoz Palacios,Metropolitana De Santiago,Distrito 9,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,72,Tamara Fredes Gutierrez,Metropolitana De Santiago,Distrito 14,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,73,Judith Mercedes Cornejo Toledo,Del Libertador General Bernardo O'Higgins,Distrito 15,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,73,Kein Soto Lama,Metropolitana De Santiago,Distrito 14,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,73,Paula Huechaqueo Rojas,Metropolitana De Santiago,Distrito 11,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,73,Xuxa Alvarez Fernandez,Metropolitana De Santiago,Distrito 9,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,74,Jose Guillermo Rojas Inostroza,Metropolitana De Santiago,Distrito 9,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,74,Patricia Del Pilar Toledo Jerez,Metropolitana De Santiago,Distrito 12,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,74,Sergio Millalen Himilaf,Metropolitana De Santiago,Distrito 14,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,75,Isabel Palma Palma,Metropolitana De Santiago,Distrito 9,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,75,Sebastian Rodriguez Cortes,Metropolitana De Santiago,Distrito 12,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,76,Andres Teodoro Jara Perez,Metropolitana De Santiago,Distrito 12,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,76,Maria Elena Valenzuela Pino,Metropolitana De Santiago,Distrito 9,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,77,Lorenzo Lepin Araneda,Metropolitana De Santiago,Distrito 9,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,77,Nicolas Patricio Farnet Toledo,Metropolitana De Santiago,Distrito 12,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,78,Daniel Eduardo Canto Gonzalez,Metropolitana De Santiago,Distrito 9,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,78,Darlyng Dayane Fuentes Gomez,Metropolitana De Santiago,Distrito 12,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,79,Roberto Lobos Villaseca,Metropolitana De Santiago,Distrito 9,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,79,Valentina Ignacia Castillo Reyes,Metropolitana De Santiago,Distrito 12,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,80,Julia Leticia Zappettini Vasquez,De Ñuble,Distrito 19,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,80,Vania Andrea Neculqueo Saavedra,Metropolitana De Santiago,Distrito 12,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,81,Ricardo Rodriguez Rivas,De Ñuble,Distrito 19,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,82,Oscar Miguel Montecinos Garcia,De Ñuble,Distrito 19,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,86,Nicol Aguilera Ortiz,Metropolitana De Santiago,Distrito 10,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
Diputado,87,Hector Soto Gallardo,Metropolitana De Santiago,Distrito 10,G. Partido Alianza Verde Popular,Alianza Verde Popular,NO
